,variable,mapped_id,description,calculation,index,map
0,id,UNITID,Unit ID for institution,,,
1,ope8_id,OPEID,8-digit OPE ID for institution,,varchar(10),
2,ope6_id,OPEID6,6-digit OPE ID for institution,,varchar(10),
3,school.name,INSTNM,Institution name,,fulltext,
4,school.city,CITY,City,,varchar(200),
5,school.state,STABBR,State postcode,,varchar(50),
6,school.zip,ZIP,ZIP code,,varchar(20),
7,school.accreditor,ACCREDAGENCY,Accreditor for institution,,,
8,school.school_url,INSTURL,URL for institution's homepage,,varchar(200),
9,school.price_calculator_url,NPCURL,URL for institution's net price calculator,,,
10,school.degrees_awarded.predominant_recoded,SCH_DEG,Predominant degree awarded (recoded 0s and 4s),,,
11,school.under_investigation,HCM2,Schools that are on Heightened Cash Monitoring 2 by the Department of Education,,tinyint,
12,school.main_campus,MAIN,Flag for main campus,,tinyint,
13,school.branches,NUMBRANCH,Number of branch campuses,,tinyint,
14,school.degrees_awarded.predominant,PREDDEG,"Predominant undergraduate degree awarded
 0 Not classified
 1 Predominantly certificate-degree granting
 2 Predominantly associate's-degree granting
 3 Predominantly bachelor's-degree granting
 4 Entirely graduate-degree granting",,tinyint,
15,school.degrees_awarded.highest,HIGHDEG,"Highest degree awarded
 0 Non-degree-granting
 1 Certificate degree
 2 Associate degree
 3 Bachelor's degree
 4 Graduate degree",,tinyint,
16,school.ownership,CONTROL,Control of institution,,integer,
17,school.state_fips,ST_FIPS,FIPS code for state,,integer,
18,school.region_id,REGION,Region (IPEDS),,integer,
19,school.locale,LOCALE,Locale of institution,,integer,
20,school.degree_urbanization,LOCALE2,Degree of urbanization of institution,,integer,
21,location.lat,LATITUDE,Latitude,,,
22,location.lon,LONGITUDE,Longitude,,,
23,school.carnegie_basic,CCBASIC,Carnegie Classification -- basic,,integer,
24,school.carnegie_undergrad,CCUGPROF,Carnegie Classification -- undergraduate profile,,,
25,school.carnegie_size_setting,CCSIZSET,Carnegie Classification -- size and setting,,,
26,school.minority_serving.historically_black,HBCU,Flag for Historically Black College and University,,tinyint,
27,school.minority_serving.predominantly_black,PBI,Flag for predominantly black institution,,tinyint,
28,school.minority_serving.annh,ANNHI,Flag for Alaska Native Native Hawaiian serving institution,,tinyint,
29,school.minority_serving.tribal,TRIBAL,Flag for tribal college and university,,tinyint,
30,school.minority_serving.aanipi,AANAPII,Flag for Asian American Native American Pacific Islander-serving institution,,tinyint,
31,school.minority_serving.hispanic,HSI,Flag for Hispanic-serving institution,,tinyint,
32,school.minority_serving.nant,NANTI,Flag for Native American non-tribal institution,,tinyint,
33,school.men_only,MENONLY,Flag for men-only college,,tinyint,
34,school.women_only,WOMENONLY,Flag for women-only college,,tinyint,
35,school.religious_affiliation,RELAFFIL,Religous affiliation of the institution,,tinyint,
36,admissions.admission_rate.overall,ADM_RATE,Admission rate,,float,
37,admissions.admission_rate.by_ope_id,ADM_RATE_ALL,Admission rate for all campuses rolled up to the 6-digit OPE ID,,,
38,admissions.sat_scores.25th_percentile.critical_reading,SATVR25,25th percentile of SAT scores at the institution (critical reading),,float,
39,admissions.sat_scores.75th_percentile.critical_reading,SATVR75,75th percentile of SAT scores at the institution (critical reading),,float,
40,admissions.sat_scores.25th_percentile.math,SATMT25,25th percentile of SAT scores at the institution (math),,float,
41,admissions.sat_scores.75th_percentile.math,SATMT75,75th percentile of SAT scores at the institution (math),,float,
42,admissions.sat_scores.25th_percentile.writing,SATWR25,25th percentile of SAT scores at the institution (writing),,float,
43,admissions.sat_scores.75th_percentile.writing,SATWR75,75th percentile of SAT scores at the institution (writing),,float,
44,admissions.sat_scores.midpoint.critical_reading,SATVRMID,Midpoint of SAT scores at the institution (critical reading),,float,
45,admissions.sat_scores.midpoint.math,SATMTMID,Midpoint of SAT scores at the institution (math),,float,
46,admissions.sat_scores.midpoint.writing,SATWRMID,Midpoint of SAT scores at the institution (writing),,float,
47,admissions.act_scores.25th_percentile.cumulative,ACTCM25,25th percentile of the ACT cumulative score,,,
